Operational Date,Total_Sales,Sales_Count,Day_of_Week,Is_Weekend,Is_Public_Holiday,Is_Closed,Tips_per_Transaction,Avg_Sale_per_Transaction,tempmax,tempmin,temp,humidity,precip,precipprob,cloudcover,solarradiation,uvindex
02-01-2024,6285,314,Tuesday,0,0,0,0.54,16.86,53.9,44.8,51.1,89.3,0.95,100,97.9,5,0
03-01-2024,8507,612,Wednesday,0,0,0,0.41,13,52,46.7,49.9,84.4,0.54,100,97.9,15.2,1
04-01-2024,3485,302,Thursday,0,0,0,0.27,11.67,49.1,46,47.3,88.3,0.35,100,99.6,17.3,1
05-01-2024,5670,505,Friday,0,0,0,0.52,12.36,49.1,43.8,46.2,89.7,0.22,100,100,6.6,1
06-01-2024,9282,734,Saturday,1,0,0,0.28,12.75,43.4,36,39.8,83.5,0.01,100,89.2,7.3,0
07-01-2024,1151,59,Sunday,1,0,0,0.43,19.51,35.4,29.4,32.8,78.8,0,0,62.1,21.5,1
08-01-2024,12360,338,Monday,0,0,0,0.4,50.17,32.1,26.9,29.4,70.5,0,0,57.9,25.1,1
09-01-2024,5101,428,Tuesday,0,0,0,0.38,13.87,31.5,23.3,26.9,61.4,0,0,0,44.1,3
10-01-2024,503,50,Wednesday,0,0,0,0.21,10.05,32.7,21.3,26.1,64.7,0,0,0,43.8,3
11-01-2024,10252,650,Thursday,0,0,0,0.57,15.3,39.8,20.4,29.4,84.9,0,0,57.9,19,1
12-01-2024,2871,173,Friday,0,0,0,0.62,17.84,42.5,36,38.5,89.6,0,0,100,12.8,1
13-01-2024,11434,634,Saturday,1,0,0,0.36,15.96,40.7,37.4,39.2,90.8,0.02,100,100,4.9,0
14-01-2024,3526,271,Sunday,1,0,0,0.25,12.82,40.7,37.1,38.6,92,0.18,100,99.6,8.6,0
15-01-2024,851,35,Monday,0,0,0,0.13,24.31,39,32.8,35.5,84.5,0.21,100,78.8,20.8,2
17-01-2024,814,88,Wednesday,0,0,0,0.22,9.63,32.7,28.6,30.9,82.1,0,0,95.8,20,1
18-01-2024,4249,259,Thursday,0,0,0,0.4,16.1,39.2,24.5,30.6,87.5,0,0,31.7,44.4,3
19-01-2024,6942,505,Friday,0,0,0,0.28,12.96,40.7,29,35.4,80.9,0.02,100,32.4,53.5,3
20-01-2024,9303,659,Saturday,1,0,0,0.39,14.12,33.8,30.8,32.3,80.2,0,0,68.3,48.5,2
21-01-2024,2600,202,Sunday,1,0,0,0.45,13.17,45.7,32.6,38.2,74.3,0.01,100,99.6,14.7,1
22-01-2024,824,57,Monday,0,0,0,0.36,14.45,53.2,46.6,49.4,80.4,0.06,100,65.8,47.3,3
24-01-2024,847,88,Wednesday,0,0,0,0.64,10.7,55.3,48.1,50.7,75.6,0.02,100,89,36.2,2
25-01-2024,5121,322,Thursday,0,0,0,0.42,15.55,50.1,34.5,44,92.4,0.02,100,79.6,19.1,1
26-01-2024,10852,726,Friday,0,0,0,0.34,13.95,52.4,36,47.2,81.7,0.06,100,50.5,56.4,3
27-01-2024,12913,793,Saturday,1,0,0,0.5,15.14,45.2,34.5,39.3,86,0,100,58.4,55.2,3
28-01-2024,6866,561,Sunday,1,0,0,0.36,11.62,48.4,32.1,40.7,69.5,0,0,92.4,62.5,4
29-01-2024,2973,131,Monday,0,0,0,0.61,22.69,50.6,39.4,45.3,82,0,0,97.1,57,3
30-01-2024,2856,126,Tuesday,0,0,0,0.62,22.66,51.4,42.5,47.4,87.9,0.02,100,99.6,19.7,2
31-01-2024,5111,304,Wednesday,0,0,0,0.25,17.05,46.6,41.7,44.1,80.1,0,100,99.6,27.2,3
02-02-2024,8464,635,Friday,0,0,0,0.36,12.76,48.4,42.6,45.6,90,0,0,98.4,20.3,1
03-02-2024,9583,721,Saturday,1,0,0,0.43,13.14,52,47.9,50.2,88.5,0,0,95.1,20.8,1
04-02-2024,1097,87,Sunday,1,0,0,0.34,12.5,52,49.3,50.6,89.4,0.02,100,100,15.7,1
05-02-2024,7188,483,Monday,0,0,0,0.24,15.18,50.3,47.5,48.8,85.3,0,100,98.4,24.2,1
06-02-2024,4966,434,Tuesday,0,0,0,0.24,12.07,52.7,50,51.3,84.5,0.24,100,99.6,25.1,2
07-02-2024,2007,170,Wednesday,0,0,0,0.28,11.29,45.2,34.7,41,83.8,0.33,100,100,43.3,3
08-02-2024,9033,690,Thursday,0,0,0,0.29,13.23,49.2,34,37.8,94,0.44,100,100,11.3,1
09-02-2024,603,25,Friday,0,0,0,0.31,24.08,55.1,49.6,51.9,86.3,0.28,100,100,42.3,4
10-02-2024,2438,129,Saturday,1,0,0,3.15,56.64,54.2,48.8,51.1,88.1,0.03,100,100,39.6,2
11-02-2024,11309,681,Sunday,1,0,0,0.43,16.29,50.6,44.8,47.9,92.6,0.12,100,95.9,27,1
12-02-2024,1121,42,Monday,0,0,0,0.89,26.68,50,40.4,44.3,87,0,100,58.6,73.5,4
14-02-2024,1766,169,Wednesday,0,0,0,0.23,10.73,54.6,47,52,93.7,0.19,100,100,13,1
15-02-2024,3947,351,Thursday,0,0,0,0.41,12.39,60.5,53.3,56,84.5,0.3,100,100,50.3,3
16-02-2024,8458,592,Friday,0,0,0,0.41,13.59,54.8,49.3,52.4,84.8,0.09,100,98.3,27.9,3
17-02-2024,13306,1027,Saturday,1,0,0,0.35,13.7,53.8,48.4,51,85.7,0.01,100,100,48.6,3
18-02-2024,3592,288,Sunday,1,0,0,0.27,12.82,52,47.9,49.4,91.2,0.55,100,100,13.5,1
19-02-2024,994,49,Monday,0,0,0,0.92,20.27,51.1,43.5,48.2,88.3,0.07,100,91.3,24,1
21-02-2024,1369,113,Wednesday,0,0,0,0.25,11.42,50,47.4,48.8,88.2,0.22,100,100,24,1
22-02-2024,3815,255,Thursday,0,0,0,0.38,13.76,55.6,41.3,50.2,90,0.25,100,96.3,25.8,1
23-02-2024,9980,708,Friday,0,0,0,0.35,13.17,46.7,41.1,43.5,80.8,0.18,100,99.5,56.2,3
24-02-2024,14278,1266,Saturday,1,0,0,0.27,11.28,44.3,38.9,41.2,86.6,0.25,100,100,53.3,3
