Operational Date,Total_Sales,Sales_Count,Day_of_Week,Is_Weekend,Is_Public_Holiday,Is_Closed,Tips_per_Transaction,Avg_Sale_per_Transaction,tempmax,tempmin,temp,humidity,precip,precipprob,cloudcover,solarradiation,uvindex
02-01-2024,545,46,Tuesday,0,0,0,0.27,11.84,53.9,44.8,51.1,89.3,0.95,100,97.9,5,0
03-01-2024,1056,82,Wednesday,0,0,0,0.52,12.87,52,46.7,49.9,84.4,0.54,100,97.9,15.2,1
04-01-2024,1161,98,Thursday,0,0,0,0.27,11.84,49.1,46,47.3,88.3,0.35,100,99.6,17.3,1
05-01-2024,5163,468,Friday,0,0,0,0.26,11.03,49.1,43.8,46.2,89.7,0.22,100,100,6.6,1
06-01-2024,4166,322,Saturday,1,0,0,0.26,12.94,43.4,36,39.8,83.5,0.01,100,89.2,7.3,0
08-01-2024,4048,245,Monday,0,0,0,0.27,16.52,32.1,26.9,29.4,70.5,0,0,57.9,25.1,1
09-01-2024,4176,372,Tuesday,0,0,0,0.17,11.22,31.5,23.3,26.9,61.4,0,0,0,44.1,3
10-01-2024,503,50,Wednesday,0,0,0,0.21,10.05,32.7,21.3,26.1,64.7,0,0,0,43.8,3
11-01-2024,3626,262,Thursday,0,0,0,0.2,13.84,39.8,20.4,29.4,84.9,0,0,57.9,19,1
12-01-2024,1611,123,Friday,0,0,0,0.21,13.09,42.5,36,38.5,89.6,0,0,100,12.8,1
13-01-2024,1227,101,Saturday,1,0,0,0.31,12.14,40.7,37.4,39.2,90.8,0.02,100,100,4.9,0
14-01-2024,957,91,Sunday,1,0,0,0.25,10.51,40.7,37.1,38.6,92,0.18,100,99.6,8.6,0
17-01-2024,253,34,Wednesday,0,0,0,0.12,7.42,32.7,28.6,30.9,82.1,0,0,95.8,20,1
18-01-2024,901,40,Thursday,0,0,0,0.2,22.51,39.2,24.5,30.6,87.5,0,0,31.7,44.4,3
19-01-2024,882,70,Friday,0,0,0,0.23,12.6,40.7,29,35.4,80.9,0.02,100,32.4,53.5,3
20-01-2024,1468,111,Saturday,1,0,0,0.3,13.22,33.8,30.8,32.3,80.2,0,0,68.3,48.5,2
21-01-2024,854,79,Sunday,1,0,0,0.44,10.8,45.7,32.6,38.2,74.3,0.01,100,99.6,14.7,1
24-01-2024,316,37,Wednesday,0,0,0,0.35,8.54,55.3,48.1,50.7,75.6,0.02,100,89,36.2,2
25-01-2024,453,38,Thursday,0,0,0,0.26,11.92,50.1,34.5,44,92.4,0.02,100,79.6,19.1,1
26-01-2024,1442,110,Friday,0,0,0,0.24,13.11,52.4,36,47.2,81.7,0.06,100,50.5,56.4,3
27-01-2024,1646,144,Saturday,1,0,0,0.31,11.43,45.2,34.5,39.3,86,0,100,58.4,55.2,3
28-01-2024,2026,176,Sunday,1,0,0,0.32,11.51,48.4,32.1,40.7,69.5,0,0,92.4,62.5,4
31-01-2024,863,47,Wednesday,0,0,0,0.29,18.34,46.6,41.7,44.1,80.1,0,100,99.6,27.2,3
02-02-2024,972,75,Friday,0,0,0,0.3,12.95,48.4,42.6,45.6,90,0,0,98.4,20.3,1
03-02-2024,1859,155,Saturday,1,0,0,0.24,11.99,52,47.9,50.2,88.5,0,0,95.1,20.8,1
04-02-2024,646,48,Sunday,1,0,0,0.35,13.45,52,49.3,50.6,89.4,0.02,100,100,15.7,1
05-02-2024,3678,302,Monday,0,0,0,0.24,12.18,50.3,47.5,48.8,85.3,0,100,98.4,24.2,1
06-02-2024,3585,330,Tuesday,0,0,0,0.17,10.86,52.7,50,51.3,84.5,0.24,100,99.6,25.1,2
07-02-2024,1691,140,Wednesday,0,0,0,0.29,12.07,45.2,34.7,41,83.8,0.33,100,100,43.3,3
