Operational Date,Total_Sales,Sales_Count,Day_of_Week,Is_Weekend,Is_Public_Holiday,Is_Closed,Tips_per_Transaction,Avg_Sale_per_Transaction,tempmax,tempmin,temp,humidity,precip,precipprob,cloudcover,solarradiation,uvindex
2024-01-02,500,50,Tuesday,0,0,0,0.29,9.99,53.9,44.8,51.1,89.3,0.95,100.0,97.9,5.0,0.0
2024-01-03,1888,157,Wednesday,0,0,0,0.25,12.02,52.0,46.7,49.9,84.4,0.54,100.0,97.9,15.2,1.0
2024-01-04,1276,121,Thursday,0,0,0,0.18,10.54,49.1,46.0,47.3,88.3,0.35,100.0,99.6,17.3,1.0
2024-01-13,1931,142,Saturday,1,0,0,0.15,13.6,40.7,37.4,39.2,90.8,0.02,100.0,100.0,4.9,0.0
2024-01-14,855,83,Sunday,1,0,0,0.14,10.29,40.7,37.1,38.6,92.0,0.18,100.0,99.6,8.6,0.0
2024-01-17,471,46,Wednesday,0,0,0,0.2,10.22,32.7,28.6,30.9,82.1,0.0,0.0,95.8,20.0,1.0
2024-01-18,430,36,Thursday,0,0,0,0.24,11.94,39.2,24.5,30.6,87.5,0.0,0.0,31.7,44.4,3.0
2024-01-19,1171,120,Friday,0,0,0,0.19,9.75,40.7,29.0,35.4,80.9,0.02,100.0,32.4,53.5,3.0
2024-01-20,1903,136,Saturday,1,0,0,0.2,13.99,33.8,30.8,32.3,80.2,0.0,0.0,68.3,48.5,2.0
2024-01-21,649,64,Sunday,1,0,0,0.32,10.14,45.7,32.6,38.2,74.3,0.01,100.0,99.6,14.7,1.0
2024-01-24,374,40,Wednesday,0,0,0,0.25,9.33,55.3,48.1,50.7,75.6,0.02,100.0,89.0,36.2,2.0
2024-01-25,946,52,Thursday,0,0,0,0.28,18.18,50.1,34.5,44.0,92.4,0.02,100.0,79.6,19.1,1.0
2024-01-26,2246,212,Friday,0,0,0,0.14,10.59,52.4,36.0,47.2,81.7,0.06,100.0,50.5,56.4,3.0
2024-01-27,2009,192,Saturday,1,0,0,0.25,10.46,45.2,34.5,39.3,86.0,0.0,100.0,58.4,55.2,3.0
