Operational Date,Total_Sales,Sales_Count,Day_of_Week,Is_Weekend,Is_Public_Holiday,Is_Closed,Tips_per_Transaction,Avg_Sale_per_Transaction,tempmax,tempmin,temp,humidity,precip,precipprob,cloudcover,solarradiation,uvindex
02-01-2024,4668,191,Tuesday,0,0,0,0.47,24.44,53.9,44.8,51.1,89.3,0.95,100,97.9,5,0
03-01-2024,4836,310,Wednesday,0,0,0,0.49,15.6,52,46.7,49.9,84.4,0.54,100,97.9,15.2,1
04-01-2024,1048,83,Thursday,0,0,0,0.35,12.62,49.1,46,47.3,88.3,0.35,100,99.6,17.3,1
06-01-2024,3512,291,Saturday,1,0,0,0.31,12.07,43.4,36,39.8,83.5,0.01,100,89.2,7.3,0
07-01-2024,1151,59,Sunday,1,0,0,0.43,19.51,35.4,29.4,32.8,78.8,0,0,62.1,21.5,1
08-01-2024,8010,65,Monday,0,0,0,0.52,123.22,32.1,26.9,29.4,70.5,0,0,57.9,25.1,1
09-01-2024,925,56,Tuesday,0,0,0,0.58,16.51,31.5,23.3,26.9,61.4,0,0,0,44.1,3
11-01-2024,5686,323,Thursday,0,0,0,0.53,17.6,39.8,20.4,29.4,84.9,0,0,57.9,19,1
12-01-2024,1202,46,Friday,0,0,0,1.16,26.11,42.5,36,38.5,89.6,0,0,100,12.8,1
13-01-2024,6706,280,Saturday,1,0,0,0.57,23.95,40.7,37.4,39.2,90.8,0.02,100,100,4.9,0
14-01-2024,1714,97,Sunday,1,0,0,0.37,17.66,40.7,37.1,38.6,92,0.18,100,99.6,8.6,0
15-01-2024,851,35,Monday,0,0,0,0.13,24.31,39,32.8,35.5,84.5,0.21,100,78.8,20.8,2
18-01-2024,2629,162,Thursday,0,0,0,0.4,16.22,39.2,24.5,30.6,87.5,0,0,31.7,44.4,3
19-01-2024,3527,186,Friday,0,0,0,0.37,18.96,40.7,29,35.4,80.9,0.02,100,32.4,53.5,3
20-01-2024,5079,355,Saturday,1,0,0,0.33,14.31,33.8,30.8,32.3,80.2,0,0,68.3,48.5,2
21-01-2024,1097,59,Sunday,1,0,0,0.59,18.58,45.7,32.6,38.2,74.3,0.01,100,99.6,14.7,1
