Operational Date,Total_Sales,Sales_Count,Day_of_Week,Is_Weekend,Is_Public_Holiday,Is_Closed,Tips_per_Transaction,Avg_Sale_per_Transaction,tempmax,tempmin,temp,humidity,precip,precipprob,cloudcover,solarradiation,uvindex
31-12-2023,201,24,Sunday,1,0,0,0.12,8.36,,,,,,,,,
02-01-2024,572,27,Tuesday,0,0,0,1.13,21.17,53.9,44.8,51.1,89.3,0.95,100,97.9,5,0
03-01-2024,727,63,Wednesday,0,0,0,0.39,11.52,52,46.7,49.9,84.4,0.54,100,97.9,15.2,1
05-01-2024,507,37,Friday,0,0,0,0.77,13.7,49.1,43.8,46.2,89.7,0.22,100,100,6.6,1
06-01-2024,1604,121,Saturday,1,0,0,0.26,13.25,43.4,36,39.8,83.5,0.01,100,89.2,7.3,0
08-01-2024,302,28,Monday,0,0,0,0.4,10.78,32.1,26.9,29.4,70.5,0,0,57.9,25.1,1
11-01-2024,940,65,Thursday,0,0,0,0.99,14.45,39.8,20.4,29.4,84.9,0,0,57.9,19,1
12-01-2024,58,4,Friday,0,0,0,0.5,14.32,42.5,36,38.5,89.6,0,0,100,12.8,1
13-01-2024,1570,111,Saturday,1,0,0,0.42,14.14,40.7,37.4,39.2,90.8,0.02,100,100,4.9,0
17-01-2024,90,8,Wednesday,0,0,0,0.35,11.25,32.7,28.6,30.9,82.1,0,0,95.8,20,1
18-01-2024,289,21,Thursday,0,0,0,0.77,13.75,39.2,24.5,30.6,87.5,0,0,31.7,44.4,3
19-01-2024,1362,129,Friday,0,0,0,0.31,10.55,40.7,29,35.4,80.9,0.02,100,32.4,53.5,3
20-01-2024,853,57,Saturday,1,0,0,0.72,14.96,33.8,30.8,32.3,80.2,0,0,68.3,48.5,2
24-01-2024,157,11,Wednesday,0,0,0,1.31,14.22,55.3,48.1,50.7,75.6,0.02,100,89,36.2,2
25-01-2024,306,19,Thursday,0,0,0,0.77,16.08,50.1,34.5,44,92.4,0.02,100,79.6,19.1,1
26-01-2024,1050,79,Friday,0,0,0,0.42,13.28,52.4,36,47.2,81.7,0.06,100,50.5,56.4,3
27-01-2024,1031,57,Saturday,1,0,0,0.93,18.08,45.2,34.5,39.3,86,0,100,58.4,55.2,3
28-01-2024,271,31,Sunday,1,0,0,0.32,8.73,48.4,32.1,40.7,69.5,0,0,92.4,62.5,4
31-01-2024,200,19,Wednesday,0,0,0,0.31,10.49,46.6,41.7,44.1,80.1,0,100,99.6,27.2,3
02-02-2024,710,52,Friday,0,0,0,0.63,13.64,48.4,42.6,45.6,90,0,0,98.4,20.3,1
03-02-2024,674,46,Saturday,1,0,0,0.86,14.64,52,47.9,50.2,88.5,0,0,95.1,20.8,1
05-02-2024,536,56,Monday,0,0,0,0.22,9.56,50.3,47.5,48.8,85.3,0,100,98.4,24.2,1
07-02-2024,316,30,Wednesday,0,0,0,0.26,10.51,45.2,34.7,41,83.8,0.33,100,100,43.3,3
08-02-2024,717,58,Thursday,0,0,0,0.44,12.35,49.2,34,37.8,94,0.44,100,100,11.3,1
10-02-2024,156,12,Saturday,1,0,0,0.87,12.94,54.2,48.8,51.1,88.1,0.03,100,100,39.6,2
11-02-2024,1083,80,Sunday,1,0,0,0.54,13.53,50.6,44.8,47.9,92.6,0.12,100,95.9,27,1
14-02-2024,256,22,Wednesday,0,0,0,0.19,11.61,54.6,47,52,93.7,0.19,100,100,13,1
15-02-2024,183,11,Thursday,0,0,0,0.92,16.64,60.5,53.3,56,84.5,0.3,100,100,50.3,3
16-02-2024,764,50,Friday,0,0,0,0.83,15.26,54.8,49.3,52.4,84.8,0.09,100,98.3,27.9,3
17-02-2024,1204,71,Saturday,1,0,0,0.66,16.96,53.8,48.4,51,85.7,0.01,100,100,48.6,3
