Operational Date,tempmax,tempmin,temp,humidity,precip,precipprob,cloudcover,solarradiation,uvindex
2024-12-05,51.8,41.0,45.2,92.3,0.257,100,90.3,4.1,0
2024-12-06,51.9,42.8,47.4,77.7,0.649,100,66.2,21.8,2
2024-12-07,50.1,44.6,46.4,86.7,0.255,100,82.8,21.8,2
2024-12-08,44.8,42.8,44.4,90.4,0.165,100,93.0,11.9,1
2024-12-09,44.6,42.8,43.7,81.1,0.002,100,88.6,9.1,1
2024-12-10,42.9,41.0,41.4,83.4,0.0,0,100.0,4.8,0
2024-12-11,41.0,37.4,38.9,84.8,0.0,0,100.0,3.4,0
2024-12-12,39.3,37.4,38.5,94.4,0.004,100,99.6,7.2,0
2024-12-13,37.6,33.8,35.8,86.5,0.001,100,100.0,5.4,0
2024-12-14,44.6,35.7,40.5,87.1,0.027,100,86.1,12.5,1
2024-12-15,51.7,37.9,47.1,90.8,0.013,100,97.9,7.4,0
2024-12-16,51.8,48.3,50.3,86.0,0.001,100,75.3,8.1,0
2024-12-17,49.9,44.7,46.9,90.4,0.0,0,70.7,13.9,1
2024-12-18,55.3,44.6,50.7,86.6,0.018,100,86.1,6.0,0
2024-12-19,55.4,41.2,47.2,84.7,0.642,100,74.7,5.9,0
2024-12-20,46.3,39.5,43.2,81.4,0.211,100,59.6,28.8,2
2024-12-21,51.7,44.8,47.6,89.5,0.165,100,70.4,8.9,1
2024-12-22,50.0,39.7,43.5,75.6,0.08,100,75.6,22.2,2
2024-12-23,46.4,41.2,45.1,76.9,0.396,100,69.3,25.2,2
2024-12-24,48.1,34.3,43.0,94.3,0.066,100,87.3,6.9,0
2024-12-25,49.9,48.1,48.5,96.6,0.031,100,99.6,6.0,0
2024-12-26,48.1,41.1,45.4,96.6,0.0,0,100.0,6.5,0
2024-12-27,41.1,37.3,38.7,98.3,0.0,0,92.8,9.0,0
2024-12-28,39.0,33.8,36.0,95.8,0.0,0,100.0,13.0,1
2024-12-29,42.8,37.5,40.7,94.9,0.007,100,99.2,4.3,0
2024-12-30,48.1,42.7,45.4,89.6,0.013,100,98.4,8.4,0
2024-12-31,46.3,37.4,41.1,89.3,0.004,100,99.6,9.3,0
2025-01-01,49.7,41.3,46.3,83.7,0.508,100,100.0,5.0,0
2025-01-02,43.1,35.6,39.0,86.7,0.198,100,72.1,30.0,2
2025-01-03,41.2,33.4,37.3,81.8,0.143,100,71.7,15.1,1
2025-01-04,39.8,33.8,36.5,89.1,0.022,100,99.6,18.8,1
