Operational Date,tempmax,tempmin,temp,humidity,precip,precipprob,cloudcover,solarradiation,uvindex
2025-05-15,66.1,51.1,57.0,61.8,0.0,0,58.7,249.3,8
2025-05-16,59.1,41.2,52.1,75.1,0.0,0,48.1,268.9,9
2025-05-17,61.1,46.8,54.0,78.1,0.0,0,34.1,263.8,9
2025-05-18,63.0,52.1,55.7,74.8,0.0,0,71.8,159.1,10
2025-05-19,68.4,43.0,58.6,67.1,0.0,0,14.3,297.8,8
2025-05-20,68.1,48.2,57.8,69.2,0.0,0,40.9,307.9,8
2025-05-21,61.7,45.5,54.1,76.6,0.0,0,97.3,220.4,6
2025-05-22,56.5,46.7,52.2,64.1,0.0,0,70.5,199.2,9
2025-05-23,58.3,45.3,51.0,66.3,0.009,100,54.3,252.6,10
2025-05-24,60.6,47.5,55.4,81.8,0.357,100,76.8,53.3,2
2025-05-25,64.5,57.2,60.5,80.1,0.176,100,66.8,158.6,5
2025-05-26,64.3,53.5,59.4,63.4,0.0,0,70.3,205.1,10
2025-05-27,64.3,55.3,58.1,81.7,0.697,100,79.9,91.0,5
