Operational Date,Total_Sales,Sales_Count,Day_of_Week,Is_Weekend,Is_Public_Holiday,Is_Closed,Tips_per_Transaction,Avg_Sale_per_Transaction,tempmax,tempmin,temp,humidity,precip,precipprob,cloudcover,solarradiation,uvindex
2025-03-01,5746.13,278,5,1,0,0,0.74,20.67,46.3,32.5,38.9,84.8,0.064,100,59.1,64.8,4
2025-03-02,1438.75,71,6,1,0,0,0.6,20.26,48.1,26.9,36.9,85.5,0.0,0,4.4,137.8,5
2025-03-03,764.3,31,0,0,0,0,0.75,24.65,49.9,25.2,37.1,85.3,0.0,0,3.8,137.2,5
2025-03-04,0.0,0,1,0,0,1,0.0,0.0,53.5,25.1,38.4,80.9,0.0,0,15.4,138.0,5
2025-03-05,404.12,16,2,0,0,0,1.81,25.26,58.9,30.5,43.6,75.1,0.004,100,0.5,145.5,5
2025-03-06,3961.52,161,3,0,0,0,0.96,24.61,62.7,32.7,48.0,67.3,0.0,0,0.5,139.7,5
2025-03-07,7077.86,407,4,1,0,0,0.51,17.39,62.8,44.8,52.5,62.3,0.0,0,0.5,144.2,5
2025-03-08,4427.76,270,5,1,0,0,0.67,16.4,66.3,39.6,51.9,57.4,0.0,0,0.3,144.9,5
2025-03-09,746.35,49,6,1,0,0,0.45,15.23,62.8,41.1,51.0,61.0,0.0,0,1.3,131.2,5
2025-03-10,1364.4,82,0,0,0,0,0.57,16.64,60.6,36.0,48.4,72.6,0.0,0,1.5,146.9,5
2025-03-11,0.0,0,1,0,0,1,0.0,0.0,46.4,38.1,42.6,79.8,0.0,0,73.2,79.8,6
2025-03-12,120.25,12,2,0,0,0,0.34,10.02,46.3,33.9,39.5,85.7,0.086,100,55.5,116.0,7
2025-03-13,3768.4,205,3,0,0,0,0.62,18.38,44.5,32.1,38.2,83.6,0.032,100,50.1,72.8,4
2025-03-14,6624.48,279,4,1,0,0,0.79,23.74,43.0,28.7,36.5,76.4,0.0,0,22.8,137.3,6
2025-03-15,4691.07,251,5,1,0,0,0.54,18.69,44.7,32.2,38.8,66.4,0.0,0,38.0,144.4,7
2025-03-16,1305.95,69,6,1,0,0,0.73,18.93,48.1,32.0,39.8,75.7,0.0,0,27.4,171.8,6
2025-03-17,579.45,25,0,0,0,0,1.26,23.18,50.1,36.0,43.4,63.3,0.0,0,53.7,187.2,8
2025-03-18,0.0,0,1,0,0,1,0.0,0.0,50.3,27.3,41.2,46.7,0.0,0,0.0,176.5,6
2025-03-19,434.05,24,2,0,0,0,0.6,18.09,62.7,30.6,46.6,54.2,0.0,0,0.0,173.7,6
2025-03-20,1791.63,112,3,0,0,0,0.52,16.0,65.7,35.9,50.8,66.2,0.0,0,0.7,170.9,6
2025-03-21,6094.49,343,4,1,0,0,0.5,17.77,70.0,41.6,57.1,56.6,0.0,0,2.2,156.2,6
2025-03-22,4918.52,227,5,1,0,0,0.76,21.67,62.9,52.4,57.5,65.4,0.035,100,15.7,95.4,6
2025-03-23,820.85,74,6,1,0,0,0.23,11.09,62.6,50.2,55.5,71.7,0.0,0,14.8,146.0,6
2025-03-24,315.0,23,0,0,0,0,0.23,13.7,53.7,39.7,48.3,86.4,0.0,0,52.0,150.5,6
2025-03-25,0.0,0,1,0,0,1,0.0,0.0,52.0,41.3,46.7,85.5,0.035,100,93.3,109.2,6
2025-03-26,642.1,25,2,0,0,0,1.44,25.68,51.9,41.0,47.5,82.8,0.001,100,76.5,60.7,2
2025-03-27,4110.2,202,3,0,0,0,0.83,20.35,58.9,33.9,46.4,79.9,0.0,0,1.2,188.1,6
2025-03-28,7332.05,353,4,1,0,0,0.66,20.77,51.9,39.3,46.1,87.8,0.014,100,65.8,58.0,3
2025-03-29,6049.29,266,5,1,0,0,0.77,22.74,51.8,37.8,45.3,80.0,0.002,100,12.3,184.0,7
2025-03-30,948.65,50,6,1,0,0,0.41,18.97,55.3,46.3,50.6,73.4,0.008,100,52.6,177.2,7
2025-03-31,1002.15,59,0,0,0,0,0.68,16.99,53.6,42.7,47.8,73.9,0.0,0,50.9,222.8,9
